   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 399,         80907,           39858,             70,     13006,        1109,         34,      79401,        39858,         177,    12868,       3105,        41
 400,         81430,           40118,             71,     13320,        1100,         34,      79800,        40118,         178,    12904,       3109,        44
 401,         81673,           40238,             71,     13256,        1102,         34,      80200,        40238,         253,    12931,       3112,        47
 402,         81840,           40320,             99,     13066,        1085,         39,      80601,        40320,         248,    12976,       3126,        48
 403,         82309,           40553,             72,     13449,        1127,         36,      81003,        40553,         181,    13022,       3135,        42
 404,         83117,           40956,             72,     12876,        1125,         35,      81406,        40956,         180,    13021,       3136,        42
 405,         83134,           40963,             72,     12615,        1106,         34,      81810,        40963,         183,    13066,       3150,        42
 406,         83273,           41031,             72,     12746,        1122,         33,      82215,        41031,         183,    13128,       3162,        42
 407,         83430,           41108,             72,     12779,        1133,         35,      82621,        41108,         184,    13122,       3156,        44
 408,         84069,           41426,             73,     12819,        1131,         35,      83028,        41426,         184,    13178,       3170,        43
 409,         84676,           41728,             73,     13000,        1157,         35,      83436,        41728,         185,    13205,       3178,        42
 410,         85365,           42071,             74,     13748,        1098,         34,      83845,        42071,         186,    13329,       3214,        43
 411,         86158,           42466,             75,     13442,        1115,         35,      84255,        42466,         189,    13244,       3189,        43
 412,         86543,           42657,             75,     13384,        1138,         35,      84666,        42657,         186,    13308,       3202,        43
 413,         86762,           42765,             75,     13007,        1123,         35,      85078,        42765,         190,    13322,       3203,        44
 414,         86817,           42791,             75,     13505,        1150,         36,      85491,        42791,         197,    13402,       3228,        43
 415,         87382,           43072,             76,     13801,        1137,         36,      85905,        43072,         190,    13424,       3228,        43
 416,         87509,           43134,             76,     13709,        1139,         35,      86320,        43134,         190,    13472,       3242,        43
 417,         87718,           43237,             76,     13350,        1155,         35,      86736,        43237,         192,    13570,       3277,        43
 418,         88167,           43460,             76,     14267,        1111,         34,      87153,        43460,         223,    13546,       3258,        53
 419,         88382,           43566,            103,     13750,        1151,         41,      87571,        43566,         239,    13593,       3274,       109
 420,         88623,           43685,             77,     13390,        1147,         36,      87990,        43685,         197,    13639,       3288,        44
 421,         88912,           43828,             77,     13333,        1179,         36,      88410,        43828,         194,    13727,       3314,        45
 422,         89313,           44027,             78,     12738,        1180,         35,      88831,        44027,         196,    13747,       3310,        46
 423,         89572,           44155,             92,     14312,        1177,         57,      89253,        44155,         208,    13783,       3323,        44
 424,         90351,           44543,             78,     13709,        1186,         36,      89676,        44543,         197,    13823,       3333,        45
 425,         90866,           44799,             79,     13198,        1187,         36,      90100,        44799,         200,    13848,       3337,        44
 426,         91271,           45000,             79,     13197,        1179,         35,      90525,        45000,         201,    13952,       3367,        45
 427,         91396,           45061,             79,     14132,        1183,         36,      90951,        45061,         200,    13922,       3361,        45
 428,         91495,           45109,             79,     14130,        1179,         36,      91378,        45109,         201,    13987,       3374,        45
 429,         91832,           45276,             80,     13933,        1169,         36,      91806,        45276,         199,    14014,       3377,        45
 430,         91861,           45289,             80,     13915,        1192,         36,      92235,        45289,         203,    14059,       3390,        44
 431,         91946,           45330,             80,     14028,        1200,         37,      92665,        45330,         200,    14096,       3395,        45
 432,         92053,           45382,             80,     14792,        1212,         37,      93096,        45382,         205,    14127,       3405,        45
 433,         92702,           45705,             80,     14323,        1190,         37,      93528,        45705,         205,    14170,       3414,        45
